input,output
"DawoodPublicSchool(DPS)isatrustownedinstitutionthatofferseducationtoover2500girlsinKarachi,Pakistan.DPSisaffiliatedwithCambridgeUniversityandoffersahighlydevelopedandholisticeducationalprogrammeforgirlsfrom2yearsto19years.DPSisofferingpreschool,primaryeducation,secondaryeducationandpreparationfortheinternationalGCE.Initially,theschoolonlycateredtostudentsfromNurserytillClassV,butitprogressedrightuptoOLevelsby1989.In2010theDawoodPublicSchoollaunched'A'levelseducation,too.DPSorganisedaneventsimulatingthemodeofUnitedNationswhichcateredchildrenfromalltheotherschoolsaroundthecountrytoproposeconflictresolutionondifferentworldaffairs.On16June2013theschoolhashostedanothereventtoincreasetheawarenessandeducationsystemofPakistan,theschoolnamedtheeventasDPSOpenDayFestivalwhichwasheldinKarachi","Dawood Public School (DPS) is a trust owned institution that offers education to over 2500 girls in Karachi, Pakistan.  DPS is affiliated with Cambridge University and offers a highly developed and holistic educational programme for girls from 2 years to 19 years. DPS is offering preschool, primary education, secondary education and preparation for the international GCE. Initially, the school only catered to students from Nursery till Class V, but it progressed right up to O Levels by 1989. In 2010 the Dawood Public School launched 'A' levels education, too.DPS organised an event simulating the mode of United Nations which catered children from all the other schools around the country to propose conflict resolution on different world affairs. On 16 June 2013 the school has hosted another event to increase the awareness and education system of Pakistan, the school named the event as DPS Open Day Festival which was held in Karachi  "
"Die3Colonias(Colognianpronunciation:[ddekolonejas];""thethreeColoniad"")isamusicgroupfromColognewithmanyactivitiesintheCologneCarnival.TheirpredominantlanguageofperformancesisColognian.Theywerefoundedin1976bytheCologneDieterSteudter.TrainedconfectionerSteudterranhisowncafontheKaiser-Wilhelm-Ringuntilthemid-1980s,whenhehadtogiveupforhealthreasons.Sincethebeginningofthe1970s,hebegantocomposeandwriteandeventoplayinthecarnival.HewasaccompaniedbyaccordionistWalterHaarhaus.Toemulatetheirrolemodels,theEilemannTrio,abassist,PaulRumpen,joinedthegroup,followedtwoyearslaterbyOliverHoff.Theirbreakthroughhadthegroupwiththesongs""JadieOmawillnachPalma""and""BierundnenAppelkorn"".FortheicehockeyclubKlnerHaiethegroupcomposedandproducedin1980thefananthem""WirsinddieHaie"".In1993DieterSteudtercomposedthecarnivalhit""EimolPrincezosin""forWickyJunggeburth,whichalsoproducedthe3coloniesandpublished.In1992,WalterHaarhausleftthe3colonies,forhimcameAndreasWeberaskeyboardist.OliverHoffbeganasolocareerasacomedianandMillowitschimpersonator;HewasfollowedbyWilliWilden.2001FrankMorawatookovertheplaceofAndreasWeber.2013,guitaristandsingerRobertLennertsandkeyboarder/accordionistandsingerMarcusSchmitterperformed,appearingsince1990as""DieOriginalBergischenGaudibuam""andsince2006as""DeSpetzbove"",WilliWildenandDieterSteudter,workingtogetherwithkeyboarderFrankMorawaCastofthemusicgroup.RobertLennertsleftthegroupin2015forprofessionalreasons.ForhimcameFredIsenbergasanewsinger.DieterSteudterremainedinthegroupuntil2015asmanager.[5]ThemostfamousrecordingsofThe3Colonieswerereleasedassingles.Theyhavealsobeenwellreceivedoutsidetheregion,includingadrinkingsongofbeerandanAppelkorn(beerandanappleandcornschnapps)andInAfricaisMother'sDay(TodayisMother'sDayinAfrica),aswellas""Halt'sMaul,seistill""(bequiet)and""ObKlsch,obPils,obAlt""(Klsch,whetherPils,whetherAlt).","Die 3 Colonias (Colognian pronunciation: [d de kolonejas]; ""the three Coloniad"") is a music group from Cologne with many activities in the Cologne Carnival. Their predominant language of performances is Colognian. They were founded in 1976 by the Cologne Dieter Steudter. Trained confectioner Steudter ran his own caf on the Kaiser-Wilhelm-Ring until the mid-1980s, when he had to give up for health reasons. Since the beginning of the 1970s, he began to compose and write and even to play in the carnival. He was accompanied by accordionist Walter Haarhaus. To emulate their role models, the Eilemann Trio, a bassist, Paul Rumpen, joined the group, followed two years later by Oliver Hoff. Their breakthrough had the group with the songs ""Ja die Oma will nach Palma"" and ""Bier und nen Appelkorn"". For the ice hockey club Klner Haie the group composed and produced in 1980 the fan anthem ""Wir sind die Haie"". In 1993 Dieter Steudter composed the carnival hit ""Eimol Prince zo sin"" for Wicky Junggeburth, which also produced the 3 colonies and published. In 1992, Walter Haarhaus left the 3 colonies, for him came Andreas Weber as keyboardist. Oliver Hoff began a solo career as a comedian and Millowitsch impersonator; He was followed by Willi Wilden. 2001 Frank Morawa took over the place of Andreas Weber. 2013, guitarist and singer Robert Lennerts and keyboarder / accordionist and singer Marcus Schmitter performed, appearing since 1990 as ""Die Original Bergischen Gaudibuam"" and since 2006 as ""De Spetzbove"", Willi Wilden and Dieter Steudter, working together with keyboarder Frank Morawa Cast of the music group. Robert Lennerts left the group in 2015 for professional reasons. For him came Fred Isenberg as a new singer. Dieter Steudter remained in the group until 2015 as manager. [5] The most famous recordings of The 3 Colonies were released as singles. They have also been well received outside the region, including a drinking song of beer and an Appelkorn (beer and an apple and corn schnapps) and In Africa is Mother's Day (Today is Mother's Day in Africa), as well as ""Halt's Maul, sei still"" (be quiet) and ""Ob Klsch, ob Pils, ob Alt"" (Klsch, whether Pils, whether Alt).  "
"TheHolmfirthbranchlineisadisusedrailwaylinethatranfor2miles(3.2km)fromBrockholestoHolmfirth,inWestYorkshire,England.ThelinewasbuiltasdoubletrackastherewereplanstoextendthelineuptheHolmeValley.","The Holmfirth branch line is a disused railway line that ran for 2 miles (3.2 km) from Brockholes to Holmfirth, in West Yorkshire, England. The line was built as double track as there were plans to extend the line up the Holme Valley."
INSChamak(K95)wastheleadvesselofherclassoffastattackcraftoftheIndianNavy.,INS Chamak (K95) was the lead vessel of her class of fast attack craft of the Indian Navy.
"TheDrawisatexteditorforMS-DOStocreateANSIandanimationsaswellasASCIIart.TheeditorisespeciallyusefultocreateormodifyfilesinANSIformatandtextdocuments,whichusethegraphicalcharactersoftheIBMASCIIcodepages,becausetheyarenotsupportedbyMicrosoftWindowsanymore.Thefirstversionoftheeditorwasdevelopedin1986byIanE.DavisofTheSoftProgrammingServices.Thelastpublicversionoftheeditorwasversion4.63,whichwasreleasedinOctober1993.TheDrawwasoneofthefirstANSIeditorsthatsupportedANSIslongerthan25rows.Thelimitinthelatestavailableversionisstill100rows.Othereditors,suchasACiDDrawareabletosupportANSIslargerthan100linesforasingleANSI/ASCII(ACiDDrawsupports1,000lines).Theanimationmodeislimitedto50lines(rows).Thecolumnwidthcanbeextendedfromthestandard80charactersto160,butthisalsoreducestherowlimitdownto50.","TheDraw is a text editor for MS-DOS to create ANSI and animations as well as ASCII art. The editor is especially useful to create or modify files in ANSI format and text documents, which use the graphical characters of the IBM ASCII code pages, because they are not supported by Microsoft Windows anymore. The first version of the editor was developed in 1986 by Ian E. Davis of TheSoft Programming Services. The last public version of the editor was version 4.63, which was released in October 1993. TheDraw was one of the first ANSI editors that supported ANSIs longer than 25 rows. The limit in the latest available version is still 100 rows. Other editors, such as ACiDDraw are able to support ANSIs larger than 100 lines for a single ANSI/ASCII (ACiDDraw supports 1,000 lines). The animation mode is limited to 50 lines (rows). The column width can be extended from the standard 80 characters to 160, but this also reduces the row limit down to 50."
"DaithGerardMcKay(born1982,Ballymena,CountyAntrim,NorthernIreland)isaformerIrishpolitician.HewastheChairoftheFinanceCommitteeintheNorthernIrishAssemblyfrom2012to2016andaSinnFinMLAforNorthAntrimfor9years.HebroughtforwardlegislationthatledtotheintroductionofaCarrierBagLevyinNorthernIrelandandtheabolishmentofratesforhundredsofCommunityAmateurSportClubs(CASCs).In2016hebeganworkingasapoliticalcolumnistandcommentator.HeworksinadvocacyandisthecurrentChairpersonoftheClimateCoalitionNI.HealsohasaweeklycolumnintheBelfastTelegraph.","Daith Gerard McKay (born 1982, Ballymena, County Antrim, Northern Ireland) is a former Irish politician. He was the Chair of the Finance Committee in the Northern Irish Assembly from 2012 to 2016 and a Sinn Fin MLA for North Antrim for 9 years. He brought forward legislation that led to the introduction of a Carrier Bag Levy in Northern Ireland and the abolishment of rates for hundreds of Community Amateur Sport Clubs (CASCs). In 2016 he began working as a political columnist and commentator. He works in advocacy and is the current Chairperson of the Climate Coalition NI. He also has a weekly column in the Belfast Telegraph.   "
"MarcioReolonisaBrazilianfilmdirector,screenwriter,producerandactor.","Marcio Reolon is a Brazilian film director, screenwriter, producer and actor."
"TheMiguelUrrutiaArtMuseum(Spanish:MuseodeArteMiguelUrrutia(MAMU))isanartmuseuminBogot,Colombia.TheMAMUispartoftheBanrepculturalNetworkalongwiththeBoteroMuseum,theGoldMuseum,theLuisngelArangoLibrary,andtheOldMintofColombiainBogot.","The Miguel Urrutia Art Museum (Spanish: Museo de Arte Miguel Urrutia (MAMU)) is an art museum in Bogot, Colombia.  The MAMU is part of the Banrepcultural Network along with the Botero Museum, the Gold Museum, the Luis ngel Arango Library, and the Old Mint of Colombia in Bogot.  "
"TemplodeSantaTeresadeJessisachurchinCentro,Guadalajara,intheMexicanstateofJalisco.","Templo de Santa Teresa de Jess is a church in Centro, Guadalajara, in the Mexican state of Jalisco."
"ThetradeunionsofEthiopiahaveatotalmembershipofapproximately300,000.Over203,000aremembersoftheConfederationofEthiopianTradeUnions(CETU).EthiopiahasalsoratifiedILOconventions29(in2003),87(1963),98(1963),100(1999),105(1999),111(1966),138(1999),and182(2003).","The trade unions of Ethiopia have a total membership of approximately 300,000. Over 203,000 are members of the Confederation of Ethiopian Trade Unions (CETU). Ethiopia has also ratified ILO conventions 29 (in 2003), 87 (1963), 98 (1963), 100 (1999), 105 (1999), 111 (1966), 138 (1999), and 182 (2003)."
"UnitedStatescompetedattheFISAlpineWorldSkiChampionships2021inCortinad'Ampezzo,UnitedStates,from8to21February2021.","United States competed at the FIS Alpine World Ski Championships 2021 in Cortina d'Ampezzo, United States, from 8 to 21 February 2021."
"PursimadelRincnisaMexicanmunicipalitylocatedinthestateofGuanajuato,foundedonJanuary1,1603.ItsmunicipalseatisthetownofPursimadeBustos.Themunicipalityhasanareaof288.44squarekilometres(0.95%ofthesurfaceofthestate),andisborderedtothenorthandeastbySanFranciscodelRincn,tothesouthbyManuelDoblado,andtothewestbythestateofJalisco.Themunicipalityhad68,795inhabitantsaccordingtothe2010census.PursimadelRincnisnamedaftertheImmaculateConception.In1954,PursimadeBustoswasnamedafterHermenegildoBustos,anartistborninthecity.ThemunicipalpresidentofPursimadelRincnanditsmanysmalleroutlyingcommunitiesisTomsTorresMontaez.","Pursima del Rincn is a Mexican municipality located in the state of Guanajuato, founded on January 1, 1603. Its municipal seat is the town of Pursima de Bustos. The municipality has an area of 288.44 square kilometres (0.95% of the surface of the state), and is bordered to the north and east by San Francisco del Rincn, to the south by Manuel Doblado, and to the west by the state of Jalisco. The municipality had 68,795 inhabitants according to the 2010 census.Pursima del Rincn is named after the Immaculate Conception. In 1954, Pursima de Bustos was named after Hermenegildo Bustos, an artist born in the city. The municipal president of Pursima del Rincn and its many smaller outlying communities is Toms Torres Montaez.  "
"AquaTVShowShowisthealternativetitlegiventothetenthseasonoftheanimatedtelevisionseriesAquaTeenHungerForce.ThetenthseasonairedintheUnitedStatesonCartoonNetwork'slatenightprogrammingblock,AdultSwim.TheseasonstartedonAugust11,2013with""Muscles""andendedwith""Spacecadeuce""onOctober20,2013,withatotaloftenepisodes.Theshowisaboutthesurrealadventuresandanticsofthreeanthropomorphicfastfooditems:MasterShake,Frylock,andMeatwad,wholivetogetherasroommatesandfrequentlyinteractwiththeirhumannext-doorneighbor,CarlBrutananadilewski.InMay2015,thisseasonbecameavailableonHuluPlus.EpisodesinthisseasonwerewrittenanddirectedbyDaveWillisandMattMaiellaro.ThethememusicwascomposedbyFlyingLotus.Almosteveryepisodeinthisseasonfeaturedaspecialguestappearance,whichcontinuesapracticeusedinpastseasons.Thisseasonhasbeenreleasedinvariousformsofhomemedia,includingondemandstreaming.","Aqua TV Show Show is the alternative title given to the tenth season of the animated television series Aqua Teen Hunger Force. The tenth season aired in the United States on Cartoon Network's late night programming block, Adult Swim. The season started on August 11, 2013 with ""Muscles"" and ended with ""Spacecadeuce"" on October 20, 2013, with a total of ten episodes. The show is about the surreal adventures and antics of three anthropomorphic fast food items: Master Shake, Frylock, and Meatwad, who live together as roommates and frequently interact with their human next-door neighbor, Carl Brutananadilewski. In May 2015, this season became available on Hulu Plus. Episodes in this season were written and directed by Dave Willis and Matt Maiellaro. The theme music was composed by Flying Lotus. Almost every episode in this season featured a special guest appearance, which continues a practice used in past seasons. This season has been released in various forms of home media, including on demand streaming."
"StudentgovernmentsintheUnitedStatesexistinbothsecondaryandhighereducation.Atthecollegiatelevel,themostcommonnameisStudentGovernment,accordingtotheAmericanStudentGovernmentAssociation'sdatabaseofallstudentgovernmentsthroughouttheUnitedStates.Thenextmostcommonnameisthestudentgovernmentassociation.Othernamesarestudentsenate,associatedstudents(westcoastinstitutionsalmostexclusively),orlesscommonlystudents'union.Thereisoneinstanceofagovernmentofthestudentbody,atIowaStateUniversity.AtYaleUniversity,theundergraduatestudentgovernmentisknownastheYaleCollegeCouncil.HighschoolstudentgovernmentsusuallyareknownasStudentCouncil.Studentgovernmentsvarywidelyintheirinternalstructureanddegreeofinfluenceoninstitutionalpolicy.Atinstitutionswithlargegraduate,medicalschool,andindividual""college""populations,thereareoftenstudentgovernmentsthatservethosespecificconstituencies.Somestudentgovernmentshaveverylargebudgets;thestudentgovernmentattheUniversityofCaliforniaatLosAngeles(UCLA)hadanannualbudgetof$39millionasof2013,andtheFloridaInternationalUniversityStudentGovernmenthadanannualbudgetof$20.3millionasof2021.Elsewhereintheworld,studentgovernmentsareoftenknownas""studentunions"".However,inAmericanEnglish,thephrase""studentunion""oftenreferstoa""studentactivitycenter""(alsoknownasa""studentcenter""or""studentcommons""):abuildingwithdininghalls,gamerooms,lounges,studentoffices,andotherspacesforstudentactivities.NotallAmericancollegesanduniversitieshaveaseparatestudentgovernment.AhandfulofsmallliberalartscollegesintheUnitedStatesuseagovernancemodelinwhichkeydecisionsaremadedemocraticallybythecommunityasawhole,withstudentsandfacultyonequalfooting.ExamplesofsuchschoolsincludeMarlboroCollege,ShimerCollege,andCollegeoftheAtlantic.Inaddition,historically,manyUSschoolsfolloweda""student-facultycouncil""model,withgovernancesharedbetweenelectedrepresentativesofthestudentbodyandthefaculty.","Student governments in the United States exist in both secondary and higher education. At the collegiate level, the most common name is Student Government, according to the American Student Government Association's database of all student governments throughout the United States. The next most common name is the student government association. Other names are student senate, associated students (west coast institutions almost exclusively), or less commonly students' union. There is one instance of a government of the student body, at Iowa State University. At Yale University, the undergraduate student government is known as the Yale College Council. High school student governments usually are known as Student Council. Student governments vary widely in their internal structure and degree of influence on institutional policy.  At institutions with large graduate, medical school, and individual ""college"" populations, there are often student governments that serve those specific constituencies.  Some student governments have very large budgets; the student government at the University of California at Los Angeles (UCLA) had an annual budget of $39 million as of 2013, and the Florida International University Student Government had an annual budget of $20.3 million as of 2021.Elsewhere in the world, student governments are often known as ""student unions"". However, in American English, the phrase ""student union"" often refers to a ""student activity center"" (also known as a ""student center"" or ""student commons""): a building with dining halls, game rooms, lounges, student offices, and other spaces for student activities.Not all American colleges and universities have a separate student government.  A handful of small liberal arts colleges in the United States use a governance model in which key decisions are made democratically by the community as a whole, with students and faculty on equal footing.  Examples of such schools include Marlboro College, Shimer College, and College of the Atlantic. In addition, historically, many US schools followed a ""student-faculty council"" model, with governance shared between elected representatives of the student body and the faculty."
"Novotroyevka(Russian:)isarurallocality(avillage)inShemyakskySelsoviet,UfimskyDistrict,Bashkortostan,Russia.Thepopulationwas236asof2010.Thereare2streets.","Novotroyevka (Russian: ) is a rural locality (a village) in Shemyaksky Selsoviet, Ufimsky District, Bashkortostan, Russia. The population was 236 as of 2010. There are 2 streets."
"ElectroctenizaisanextinctmonotypicgenusofspiderinthefamilyCtenizidae.Atpresent,itcontainsthesinglespeciesElectroctenizasadilenkoi.ThegenusissolelyknownfromtheEarlyEoceneBalticamberdepositsintheBalticSearegionofEurope.","Electrocteniza is an extinct monotypic genus of spider in the family Ctenizidae. At present, it contains the single species Electrocteniza sadilenkoi.  The genus is solely known from the Early Eocene Baltic amber deposits in the Baltic Sea region of Europe."
"SecureHypertextTransferProtocol(S-HTTP)isanobsoletealternativetotheHTTPSprotocolforencryptingwebcommunicationscarriedovertheInternet.ItwasdevelopedbyEricRescorlaandAllanM.SchiffmanatEITin1994andpublishedin1999asRFC2660.EventhoughS-HTTPwasfirsttomarket,Netscape'sdominanceofthebrowsermarketledtoHTTPSbecomingthedefactomethodforsecuringwebcommunications.","Secure Hypertext Transfer Protocol (S-HTTP) is an obsolete alternative to the HTTPS protocol for encrypting web communications carried over the Internet. It was developed by Eric Rescorla and Allan M. Schiffman at EIT in 1994  and published in 1999 as RFC 2660. Even though S-HTTP was first to market, Netscape's dominance of the browser market led to HTTPS becoming the de facto method for securing web communications.  "
"ThePetticoatAffair(alsoknownastheEatonAffair)wasapoliticalscandalinvolvingmembersofPresidentAndrewJackson'sCabinetandtheirwives,from1829to1831.LedbyFlorideCalhoun,wifeofVicePresidentJohnC.Calhoun,thesewomen,dubbedthe""Petticoats"",sociallyostracizedSecretaryofWarJohnEatonandhiswife,PeggyEaton,overdisapprovalofthecircumstancessurroundingtheEatons'marriageandwhattheydeemedherfailuretomeetthe""moralstandardsofaCabinetWife"".ThePetticoatAffairrattledtheentireJacksonAdministrationandeventuallyledtotheresignationofallbutoneCabinetmember.TheordealfacilitatedMartinVanBuren'srisetothepresidencyandwasinpartresponsibleforVicePresidentCalhoun'stransformationfromanationwidepoliticalfigurewithpresidentialaspirationsintoasectionalleaderofthesouthernstates.","The Petticoat Affair (also known as the Eaton Affair) was a political scandal involving members of President Andrew Jackson's Cabinet and their wives, from 1829 to 1831.  Led by Floride Calhoun, wife of Vice President John C. Calhoun, these women, dubbed the ""Petticoats"", socially ostracized Secretary of War John Eaton and his wife, Peggy Eaton, over disapproval of the circumstances surrounding the Eatons' marriage and what they deemed her failure to meet the ""moral standards of a Cabinet Wife"". The Petticoat Affair rattled the entire Jackson Administration and eventually led to the resignation of all but one Cabinet member.  The ordeal facilitated Martin Van Buren's rise to the presidency and was in part responsible for Vice President Calhoun's transformation from a nationwide political figure with presidential aspirations into a sectional leader of the southern states."
"TheCongressionalNextGen9-1-1Caucus,aUnitedStatesCongresscaucus,workstoimprovethe9-1-1phonesystemandemergencyresponsesystems.ThecaucusisheadedbySenatorsRichardBurr(R-NC)andAmyKlobuchar(D-MN)andRepresentativesDanBishop(R-NC)andAnnaEshoo(D-CA).","The Congressional NextGen 9-1-1 Caucus, a United States Congress caucus, works to improve the 9-1-1 phone system and emergency response systems. The caucus is headed by Senators Richard Burr (R-NC) and Amy Klobuchar (D-MN) and Representatives Dan Bishop (R-NC) and Anna Eshoo (D-CA)."
"PatrickJosephO'Kane(18841970)wasamemberoftheNewZealandLegislativeCouncilfrom8September1941to7September1948;and8September1948to31December1950,whentheCouncilwasabolished.HewasappointedbytheFirstLabourGovernment.HewasfromFrasertowninHawkesBay.","Patrick Joseph O'Kane (18841970) was a member of the New Zealand Legislative Council from 8 September 1941 to 7 September 1948; and 8 September 1948 to 31 December 1950, when the Council was abolished. He was appointed by the First Labour Government.He was from Frasertown in Hawkes Bay."
JeanLeniolJeudy(born1958)isoneofthreemembersoftheNewHampshireHouseofRepresentativesforHillsborough10(Ward3inManchester).,Jean Leniol Jeudy (born 1958) is one of three members of the New Hampshire House of Representatives for Hillsborough 10 (Ward 3 in Manchester).
MbaoniisasettlementinKenya'sCoastProvince.,Mbaoni is a settlement in Kenya's Coast Province.
"TheFaroeIslandscompetedatthe2008SummerParalympicsinBeijing,China,butdidnotwinamedal.Theteamconsistedofasinglecompetitor,HeidiAndreasen,whotookpartinfourswimmingevents.","The Faroe Islands competed at the 2008 Summer Paralympics in Beijing, China, but did not win a medal. The team consisted of a single competitor, Heidi Andreasen, who took part in four swimming events."
"The1917ArkansasRazorbacksfootballteamrepresentedtheUniversityofArkansasintheSouthwestConference(SWC)duringthe1917collegefootballseason.IntheirfirstyearunderheadcoachNormanC.Paine,theRazorbackscompileda511record(011againstSWCopponents),finishedinlastplaceintheSWC,andoutscoredtheiropponentsbyacombinedtotalof118to27.","The 1917 Arkansas Razorbacks football team represented the University of Arkansas in the Southwest Conference (SWC) during the 1917 college football season. In their first year under head coach Norman C. Paine, the Razorbacks compiled a 511 record (011 against SWC opponents), finished in last place in the SWC, and outscored their opponents by a combined total of 118 to 27."
"Twohumanpollsmakeupthe200708NCAADivisionIwomen'sbasketballrankings,theAPPollandtheCoachesPoll,inadditiontovariouspublications'preseasonpolls.Asthe2007-08basketballseasonprogresses,rankingsareupdatedweekly.","Two human polls make up the 200708 NCAA Division I women's basketball rankings, the AP Poll and the Coaches Poll, in addition to various publications' preseason polls.  As the 2007-08 basketball season progresses, rankings are updated weekly."
"The2020UnitedStatesHouseofRepresentativeselectionsinIllinoiswereheldonNovember3,2020,toelectthe18U.S.representativesfromthestateofIllinois,onefromeachofthestate's18congressionaldistricts.Theelectionscoincidedwiththe2020U.S.presidentialelection,aswellasotherelectionstotheHouseofRepresentatives,electionstotheUnitedStatesSenate,variousstateandlocalelections,andtheIllinoisFairTax.","The 2020 United States House of Representatives elections in Illinois were held on November 3, 2020, to elect the 18 U.S. representatives from the state of Illinois, one from each of the state's 18 congressional districts. The elections coincided with the 2020 U.S. presidential election, as well as other elections to the House of Representatives, elections to the United States Senate, various state and local elections, and the Illinois Fair Tax."
AnacampsislithodeltaisamothofthefamilyGelechiidae.ItwasdescribedbyEdwardMeyrickin1922.ItisfoundinPeru.,Anacampsis lithodelta is a moth of the family Gelechiidae. It was described by Edward Meyrick in 1922. It is found in Peru.
"TheYonderMountainStringBandisanAmericanprogressivebluegrassgroupfromNederland,Colorado.ComposedofDaveJohnston,BenKaufmann,AdamAijala,andNickPiccininni,thebandhasreleasedfivestudioalbumsandseveralliverecordingstodate.","The Yonder Mountain String Band is an American progressive bluegrass group from Nederland, Colorado. Composed of Dave Johnston, Ben Kaufmann, Adam Aijala, and Nick Piccininni, the band has released five studio albums and several live recordings to date."
"TheargumentfrommoralityisanargumentfortheexistenceofGod.Argumentsfrommoralitytendtobebasedonmoralnormativityormoralorder.ArgumentsfrommoralnormativityobservesomeaspectofmoralityandarguethatGodisthebestoronlyexplanationforthis,concludingthatGodmustexist.Argumentsfrommoralorderarebasedontheassertedneedformoralordertoexistintheuniverse.Theyclaimthat,forthismoralordertoexist,Godmustexisttosupportit.Theargumentfrommoralityisnoteworthyinthatonecannotevaluatethesoundnessoftheargumentwithoutattendingtoalmosteveryimportantphilosophicalissueinmeta-ethics.GermanphilosopherImmanuelKantdevisedanargumentfrommoralitybasedonpracticalreason.Kantarguedthatthegoalofhumanityistoachieveperfecthappinessandvirtue(thesummumbonum)andbelievedthatanafterlifemustexistinorderforthistobepossible,andthatGodmustexisttoprovidethis.InhisbookMereChristianity,C.S.Lewisarguedthat""consciencerevealstousamorallawwhosesourcecannotbefoundinthenaturalworld,thuspointingtoasupernaturalLawgiver.""Lewisarguedthatacceptingthevalidityofhumanreasonasagivenmustincludeacceptingthevalidityofpracticalreason,whichcouldnotbevalidwithoutreferencetoahighercosmicmoralorderwhichcouldnotexistwithoutaGodtocreateand/orestablishit.Arelatedargumentisfromconscience;JohnHenryNewmanarguedthattheconsciencesupportstheclaimthatobjectivemoraltruthsexistbecauseitdrivespeopletoactmorallyevenwhenitisnotintheirowninterest.Newmanarguedthat,becausetheconsciencesuggeststheexistenceofobjectivemoraltruths,Godmustexisttogiveauthoritytothesetruths.ContemporarydefendersoftheargumentfrommoralityareGrahamWard,AlisterMcGrathandWilliamLaneCraig.","The argument from morality is an argument for the existence of God. Arguments from morality tend to be based on moral normativity or moral order. Arguments from moral normativity observe some aspect of morality and argue that God is the best or only explanation for this, concluding that God must exist. Arguments from moral order are based on the asserted need for moral order to exist in the universe. They claim that, for this moral order to exist, God must exist to support it. The argument from morality is noteworthy in that one cannot evaluate the soundness of the argument without attending to almost every important philosophical issue in meta-ethics. German philosopher Immanuel Kant devised an argument from morality based on practical reason. Kant argued that the goal of humanity is to achieve perfect happiness and virtue (the summum bonum) and believed that an afterlife must exist in order for this to be possible, and that God must exist to provide this. In his book Mere Christianity, C. S. Lewis argued that ""conscience reveals to us a moral law whose source cannot be found in the natural world, thus pointing to a supernatural Lawgiver."" Lewis argued that accepting the validity of human reason as a given must include accepting the validity of practical reason, which could not be valid without reference to a higher cosmic moral order which could not exist without a God to create and/or establish it. A related argument is from conscience; John Henry Newman argued that the conscience supports the claim that objective moral truths exist because it drives people to act morally even when it is not in their own interest. Newman argued that, because the conscience suggests the existence of objective moral truths, God must exist to give authority to these truths. Contemporary defenders of the argument from morality are Graham Ward, Alister McGrath and William Lane Craig."
"ThePanaadStadium(Tagalog:[pnaad]),alsosometimesspelledasPana-ad,namedaftertheparkwherethestadiumissituatedin,isamulti-purposestadiuminBarangayMansilingan,Bacolod,Philippines.PanaadhostedvariousinternationalsportingeventsparticularlyfootballwhenBacolodco-hostedthe2005SoutheastAsianGamesandthe2012AFCChallengeCupqualificationagainstMongolia.ThestadiumwasaformerhometoCeres-NegrosF.C.","The Panaad Stadium (Tagalog: [pnaad]), also sometimes spelled as Pana-ad, named after the park where the stadium is situated in, is a multi-purpose stadium in Barangay Mansilingan, Bacolod, Philippines.Panaad hosted various international sporting events particularly football when Bacolod co-hosted the 2005 Southeast Asian Games and the 2012 AFC Challenge Cup qualification against Mongolia. The stadium was a former home to Ceres-Negros F.C."
"CoahomaEarlyCollegeHighSchool(CECHS),formerlyCoahomaAgriculturalHighSchool(CAHS),isapublicsecondaryschoolinunincorporatedCoahomaCounty,Mississippi(UnitedStates),withaClarksdalepostaladdress.TheschoolisdesignatedasapartoftheCoahomaAgriculturalHighSchoolDistrict(ASD#1402),andoperatedbyCoahomaCommunityCollege.Previouslyitwas,asof2000,oneofthreeindependentlyfunctioningagriculturalhighschoolsinthestateofMississippi.Theschoolhasitsownfacilities,instructionalandadministrativepersonnel,andstudentprograms.Itshareslibraryfacilitieswiththecollege.WhenitwasstillCAHS,theschooloperatedtheCoahomaEarlyCollegeHighSchoolprogram.OnJuly1,2018,theoriginalCoahomaCountyAgriculturalHighSchoolwasdissolved,withtheCoahomaEarlyCollegeHighSchooltakingitsplace.","Coahoma Early College High School (CECHS), formerly Coahoma Agricultural High School (CAHS), is a public secondary school in unincorporated Coahoma County, Mississippi (United States), with a Clarksdale postal address. The school is designated as a part of the Coahoma Agricultural High School District (ASD #1402), and operated by Coahoma Community College. Previously it was, as of 2000, one of three independently functioning agricultural high schools in the state of Mississippi. The school has its own facilities, instructional and administrative personnel, and student programs. It shares library facilities with the college. When it was still CAHS, the school operated the Coahoma Early College High School program. On July 1, 2018, the original Coahoma County Agricultural High School was dissolved, with the Coahoma Early College High School taking its place.  "
"TheNorthernMarianaIslandscompetedatthe2019WorldAquaticsChampionshipsinGwangju,SouthKoreafrom12to28July.","The Northern Mariana Islands competed at the 2019 World Aquatics Championships in Gwangju, South Korea from 12 to 28 July."
"VirtualDeepSeaFishingisa1998fishingvideogamebyKoreandeveloperTaffSystem,releasedinEnglish-speakingcountriesin1999byInterplayProductionsThegameispartofthepublisher'sNakksigwangseriesoffishingvideogames,andthefirsttobedistributedoutsideofSouthKorea.","Virtual Deep Sea Fishing  is a 1998 fishing video game by Korean developer Taff System, released in English-speaking countries in 1999 by Interplay Productions The game is part of the publisher's Nakksigwang series of fishing video games, and  the first to be distributed outside of South Korea.  "
